review_dates,reviews,vader_score_review,vader_sentiment_review,source
2026-12-20,"One of the best manga adaptations of all time. Simply amazing, that’s all I can say.",0.8402,Positive,Rotten Tomatoes
2026-12-06,Best Anime Live Action Adaptation of All Time. NOTHING WILL EVER BEAT ONE PIECE LIVE ACTION!,0.6696,Positive,Rotten Tomatoes
2026-11-30,How were they able to cram so much cringe into one season of television? It’s almost impressive. Almost.,0.4601,Positive,Rotten Tomatoes
2026-10-27,One Piece is an incredibly well done show. It takes a very well written storyline and based off of a manga series with an extensive following. One Piece brings manga into live action which really opens up its potential to connect with a large audience base. I was collecting One Piece trading cards then learned about the Netflix series. This series is something I watched and rewatched due to the wonderful lessons throughout the story. This show is wholistic and good in every way possible. One Piece is not a show I would have normally watched but it was so well done that I rewatch it to the level of Harry Potter or Pirates of the Caribbean. It’s just a fantastic whatch and had wonderful life lessons. I would like to see more than 8 episodes in between series releases. It’s not enough content to watch while anticipating the following season being made. One of my very favorite shows.,0.9817,Positive,Rotten Tomatoes
2026-09-30,i am not a one piece fan. but this live action made mme consider rethinkkking that. it was really good from the actingto the special effects.,0.8587,Positive,Rotten Tomatoes
2026-09-26,"I usually avoid writing reviews before watching the whole thing, however i decided to write a review of one piece after watching six episodes. This is without a doubt one of the best films i have watched. I love it. And i have never watched the original cartoon. It's a meaningful movie and fun to watch.",0.9177,Positive,Rotten Tomatoes
2026-09-20,The best adaptation ever!,0.6696,Positive,Rotten Tomatoes
2026-09-04,"Having never seen the anime or read the manga, I went into One Piece blind and wasn't just pleasantly surprised, but completely blown away by how energetic, rousing, heartfelt and fun this series is!",0.9078,Positive,Rotten Tomatoes
2026-08-17,A amazing live action remake of one piece,0.5859,Positive,Rotten Tomatoes
2026-08-13,"Poxa que série incrível, a adaptação do anime ao live action é necessária e as vezes melhor tipo o arco do buggy, eles mantém a essência, o carisma a profundidade de um jeito quase perfeito só não do 5 estrelas por causa do episódio 3, e 4 que infelizmente são fraco mas o resto ABSOLUTE SÉRIE",0.0,Neutral,Rotten Tomatoes
2026-08-13,"I mean sure u can say they did good making a real versjon of one piece, considering the original is a anime, but then again, for me who loves the anime, I couldn't even see to episode's, because they changed up the story line, I mean sure u can't make it exactly like the anime that would be impossible, but at least try to get the story line correct, and introduce character's in the right order, Garp isn't supposed to be announced as Luffy's grandfather until he has 7 members of he's Crue, and it happens when Carp smacks Luffy's head in the floor fore sleeping, and it happens in front of his crew, that's when we the audience learn along whit his crew that his Luffy's grandfather, that's just one of the important moments, Netflix changed in the ""real"" version of One Piece",0.9493,Positive,Rotten Tomatoes
2026-08-11,"one piece has always been awful: it's an exercise in quantity over quality and ive never found it endearing past the first couple of episodes of season 1, which are still heavily flawed. i dont know who decided anyone wanted yet another live action anime adaptation, but this is one of the worst and most generic choices for source material possible and it's just as much of a disappointment as the majority of the anime is. of course this gets renewed for multiple seasons while decent products get canned left and right.",-0.9343,Negative,Rotten Tomatoes
2026-08-10,"I had never heard of One Piece before my friend made me watch this. And I ended up enjoying myself so much that I started the anime. I love the cast, directing and overall feel of the show but what stands out to me especially is the use of practical sets. Personally there is nothing worse than watching a scene and it being obvious that the actor is stood in front of a green screen. This show avoids this issue as it uses practical sets which look great, add to the atmosphere, and truly make you feel like you're part of the world. Small pieces such as the bounty posters popping up on the screen just serve to amplify your immersion and enjoyment. All of the cast embody their roles, with my personal favourite being Emily Rudd as Nami, as she portrays all aspects of her perfectly. Excited to see how they bring the following arcs to live action",0.9889,Positive,Rotten Tomatoes
2026-08-04,"In fact, an adaptation that gave me pleasure to watch, despite the difficult mission, Iñaki Godoy brings the essence of Luffy very well, making us fall in love with the character in each scene.",0.9082,Positive,Rotten Tomatoes
2026-07-18,Totally love this series. I hope there is a 2nd and 3rd season. I want to see the All Blue and the Grand Line.,0.8932,Positive,Rotten Tomatoes
2026-07-13,"It's not terrible but honestly One Piece is just one of those anime series that can never be translated perfectly into a live action show. The writing and dialogue in One Piece is so unique and nuanced that when it's made into a live action it just feels so cringe, like a middle school play. It was the same thing when they made the ATLA live action series. Sub par casting and cringy dialogue. The CGI and effects are good though. Then again we are in 2025 so it kinda has to be. Anyway, not a bad show but definitely skips over a lot of stuff. Such is the downside of live action adaptations I guess.",0.8572,Positive,Rotten Tomatoes
2026-06-30,"One Piece live-action is a surprisingly faithful and thrilling adaptation. It captures the spirit, humor, and heart of the anime while bringing fresh energy to the characters. The casting feels spot-on, and the action sequences are exciting without losing the charm that made the original beloved. It’s a great entry point for newcomers and a treat for longtime fans.",0.9863,Positive,Rotten Tomatoes
2026-06-25,Seriously?? It's really the worst and clumsy..,-0.7535,Negative,Rotten Tomatoes
2026-06-19,"Retains so much of the magic of the original anime and manga, along with adding some perfect castings and world building. I'm so excited for season 2!",0.8558,Positive,Rotten Tomatoes
2026-06-15,"This obviosuly was not made for me... but even with that said, I have never seen anything even remotely this bad in my life. Worse than Life Aquatic, worse than S08 of GOT, worse than Snow White 2025. This is truly the worst thing I have ever seen in my entire life. Maybe a young kid, at best, this would be moderately entertaining for. But even then, I would never have my child watch. This is brain-dead nonsense.",-0.9417,Negative,Rotten Tomatoes
2026-06-01,"The Netflix live-action adaptation of ""One Piece"" is generally well-received, with many praising its ability to capture the essence of the original anime while adapting it for a new audience. Critics and viewers appreciate its fun, adventurous tone, strong casting, and impressive world-building, particularly with the set designs and visual effects. However, some feel the show loses some of the original's spark and ingenuity in its simplified adaptation.",0.9612,Positive,Rotten Tomatoes
