review_dates,reviews,Likes,vader_score_review,vader_sentiment_review,source
2026-01-12,Chopper’s hiding skill has obviously been improved.,18073,0.2263,Positive,YouTube
2026-01-12,It's such a miracle that the show is allowed to stay true to the silliness.,16158,0.6908,Positive,YouTube
2026-01-12,We better have that one crocus gag with the dramatic sounds.,14293,0.128,Positive,YouTube
2026-01-12,Fully embracing and not shying away from the ridiculousness and silliness of the One Piece world is part of why this live-action adaptation has been well-received by the majority. Looks like this season is even wilder by the looks of it. Can't wait!,8388,0.1174,Positive,YouTube
2026-01-12,"They actually adapted the unluckies, lol.

Guess this is proof that they’re going all out. It doesn’t get more wacky than an otter riding a vulture with a machine gun.",7077,-0.3818,Negative,YouTube
2026-01-12,Igaram singing while shooting is what sold it to me.,6522,0.0,Neutral,YouTube
2026-01-12,We better get Zoro posing to become a statue,5859,0.4404,Positive,YouTube
2026-01-12,They did it. They adapted the freakin’ Unluckies😂,4536,0.4404,Positive,YouTube
2026-01-12,"Holy shit they actually added the Unluckies?? This right here is why the one piece adaptation works so well. They don't shy away from the silly parts. Also, that whispered Doce Fleur was incredible.",2572,-0.0973,Negative,YouTube
2026-01-12,"Igaram be like: ""So anyway, I STARTED BLASTING""",2298,0.3612,Positive,YouTube
2026-01-12,"I like how the first trailer focused on Chopper, and this one focuses on Robin.",2217,0.6249,Positive,YouTube
2026-01-12,"My mom love the first season, it sucks she won’t be able to see this. She was really excited for this",1936,0.659,Positive,YouTube
2026-01-14,The guy they got for Mr. 3 is PERFECT,1835,0.6633,Positive,YouTube
2026-01-12,I'm SO happy that they didn't shy away from making Miss All-Sunday a) an actual assassin and b) have powers that look like NIGHTMARE FUEL. It's all I wanted. THANK YOU!,1677,0.8977,Positive,YouTube
2026-01-12,If it ain't Baroque. Don't fix it,1312,0.0,Neutral,YouTube
2026-01-12,Robin looking GOOOOOD!!!,1283,0.0,Neutral,YouTube
2026-01-12,Im completely in love with robin's actress,1232,0.6682,Positive,YouTube
2026-01-12,This looks so much better than I could have imagined. This show existing and being good is a miracle in and of itself,1188,0.8714,Positive,YouTube
2026-01-13,Robin Chan's casting was perfect.,1135,0.5719,Positive,YouTube
2026-01-12,0:59 -WHOA they actually adapted these two and they look AMAZING!!,1121,0.7284,Positive,YouTube
2026-01-12,"""now its my turn"" goes hard, what a beautiful trailer",1117,0.5423,Positive,YouTube
2026-01-12,"Okay, but the whispered “doce fleur”? CHILLS!",1021,0.1882,Positive,YouTube
2026-01-12,1:15 lore accurate 😭😭,961,-0.7351,Negative,YouTube
2026-01-14,I live in South Africa and I was on a road trip so I drove by the coast and I actually saw the going merry 🤩,944,0.5423,Positive,YouTube
2026-01-12,"One piece 100%
Teaser 100%
Adventure 100%
Music 100%",926,0.0772,Positive,YouTube
2026-01-12,"I can't believe that they have adapted the unluckies, Vivi's hypnotic dance, and Igaram's gun hair. I wonder how strange Wapol and its devil fruit will look now.",839,-0.8225,Negative,YouTube
2026-01-13,Everyone looks so good and exactly as silly as they're supposed to. They nailed Mr.3's hair and the unluckies look great,835,0.8377,Positive,YouTube
2026-01-12,Zoro aura farming at Whiskey peak will be awesome,804,0.6249,Positive,YouTube
2026-01-12,"0:22 Whoa, I know Robin’s holds are brutal but this takes it up a notch.",773,-0.3716,Negative,YouTube
2026-01-12,"Dude all Baroque works members look so clean, this season will definitely be worth all the hype and wait.",705,0.7959,Positive,YouTube
2026-01-12,The guitar rift man that was so epic  and can’t wait for season 2.,643,0.0,Neutral,YouTube
2026-01-12,unluckies? the debut of MR. PRINCE? oh we cooking with sanji this season,626,0.0,Neutral,YouTube
